fold,accuracy,f1_macro,precision,recall
1,0.19148936170212766,0.053571428571428575,0.031914893617021274,0.16666666666666666
2,0.19148936170212766,0.053571428571428575,0.031914893617021274,0.16666666666666666
3,0.19148936170212766,0.053571428571428575,0.031914893617021274,0.16666666666666666
4,0.19148936170212766,0.053571428571428575,0.031914893617021274,0.16666666666666666
5,0.19148936170212766,0.053571428571428575,0.031914893617021274,0.16666666666666666
6,0.19148936170212766,0.053571428571428575,0.031914893617021274,0.16666666666666666
7,0.19148936170212766,0.053571428571428575,0.031914893617021274,0.16666666666666666
8,0.2127659574468085,0.05847953216374269,0.03546099290780142,0.16666666666666666
9,0.1956521739130435,0.05454545454545454,0.03260869565217391,0.16666666666666666
10,0.1956521739130435,0.05454545454545454,0.03260869565217391,0.16666666666666666
