precision,recall,f1,support
0.0,0.0,0.0,82
0.0,0.0,0.0,64
0.0,0.0,0.0,87
0.0,0.0,0.0,81
0.0,0.0,0.0,63
0.19444444444444445,1.0,0.32558139534883723,91
