fold,accuracy,f1_macro,precision,recall
1,0.2553191489361702,0.19343915343915344,0.16942663817663817,0.23379629629629628
2,0.2553191489361702,0.16471734892787526,0.13703703703703704,0.23148148148148148
3,0.3191489361702128,0.211484593837535,0.17914529914529917,0.2962962962962963
4,0.2978723404255319,0.20056306306306312,0.1884920634920635,0.2638888888888889
5,0.3829787234042553,0.23307656395891688,0.18847222222222224,0.3541666666666667
6,0.3404255319148936,0.25522995522995523,0.2759259259259259,0.3148148148148148
7,0.2978723404255319,0.21666666666666665,0.19775132275132276,0.27777777777777773
8,0.3191489361702128,0.20754917597022862,0.16688625384277558,0.2833333333333333
9,0.34782608695652173,0.24536064425770307,0.20574755357364052,0.32175925925925924
10,0.34782608695652173,0.25931495405179616,0.2834110334110334,0.3148148148148148
