fold,accuracy,f1_macro,precision,recall
1,0.5106382978723404,0.4417753385245646,0.42500000000000004,0.4699074074074074
2,0.6808510638297872,0.6848434216855269,0.6949074074074074,0.6875
3,0.5531914893617021,0.537359943977591,0.5496031746031746,0.5661375661375662
4,0.6382978723404256,0.6380530417295124,0.6424963924963926,0.6431878306878307
5,0.6170212765957447,0.5886285827462298,0.6002645502645502,0.5982142857142857
6,0.6382978723404256,0.6339133089133089,0.6468253968253969,0.63260582010582
7,0.6170212765957447,0.5954847526054957,0.6188852813852813,0.5899470899470899
8,0.5957446808510638,0.5730661881977671,0.5891534391534392,0.5833333333333333
9,0.43478260869565216,0.4281812958283547,0.4481481481481482,0.44444444444444436
10,0.5652173913043478,0.558423520923521,0.5865079365079365,0.5509259259259259
