Reading,Name,PlasticType,Color,nm940,nm1050,nm1200,nm1300,nm1450,nm1550,nm1650,nm1720,SourceFile
42,3mm pet,PET,transparent,23438.0,37566.0,64802.0,76089.0,34911.0,40405.0,10463.0,6231.0,measurement3.csv
43,3mm pet,PET,transparent,23262.0,37387.0,63873.0,76042.0,35175.0,40007.0,10528.0,6154.0,measurement3.csv
44,3mm pet,PET,transparent,23704.0,37729.0,64365.0,76376.0,34775.0,40064.0,10390.0,6150.0,measurement3.csv
45,3mm pet,PET,transparent,23282.0,37467.0,64794.0,76587.0,35187.0,40399.0,10795.0,6154.0,measurement3.csv
46,3mm pet,PET,transparent,23671.0,37603.0,65039.0,76631.0,35210.0,40650.0,10817.0,6061.0,measurement3.csv
47,3mm pc,PC,transparent,23624.0,36743.0,67745.0,78726.0,38105.0,42947.0,10773.0,6032.0,measurement3.csv
48,3mm pc,PC,transparent,23773.0,37510.0,68312.0,80177.0,38289.0,42889.0,10680.0,6218.0,measurement3.csv
49,3mm pc,PC,transparent,23784.0,37484.0,69070.0,80422.0,38406.0,43202.0,10667.0,6419.0,measurement3.csv
50,3mm pc,PC,transparent,23566.0,37743.0,68831.0,80247.0,38628.0,43683.0,10681.0,6460.0,measurement3.csv
51,3mm pc,PC,transparent,23575.0,37238.0,68309.0,79672.0,38064.0,42640.0,10459.0,6136.0,measurement3.csv
52,3mm pc,PC,transparent,23274.0,37013.0,67532.0,78561.0,37948.0,42296.0,10509.0,6091.0,measurement3.csv
53,3mm pc,PC,transparent,23814.0,37405.0,68233.0,80038.0,38217.0,43453.0,10746.0,6467.0,measurement3.csv
54,cd case,PS,transparent,26179.0,40646.0,81603.0,90416.0,47157.0,51084.0,14852.0,8957.0,measurement3.csv
55,cd case,PS,transparent,26576.0,40989.0,81783.0,90378.0,46950.0,51020.0,15169.0,9106.0,measurement3.csv
56,cd case,PS,transparent,26175.0,40753.0,81627.0,90472.0,47099.0,51105.0,15086.0,8976.0,measurement3.csv
57,cd case,PS,transparent,26065.0,40697.0,81431.0,90054.0,46630.0,50692.0,14796.0,8797.0,measurement3.csv
58,bag,LDPE,transparent,29784.0,45804.0,105100.0,96637.0,53342.0,57947.0,22727.0,12900.0,measurement3.csv
59,bag,LDPE,transparent,29898.0,45429.0,104059.0,95772.0,52975.0,58071.0,22238.0,12557.0,measurement3.csv
60,bag,LDPE,transparent,29842.0,45213.0,103590.0,95413.0,53055.0,57641.0,22500.0,12253.0,measurement3.csv
61,bag,LDPE,transparent,29828.0,45771.0,103726.0,95774.0,53299.0,58046.0,22390.0,12756.0,measurement3.csv
62,a04c,PET,transparent,23676.0,37437.0,66413.0,77505.0,35591.0,41509.0,10832.0,6309.0,measurement3.csv
63,a04c,PET,transparent,23939.0,37661.0,66776.0,77648.0,35489.0,40809.0,10876.0,6180.0,measurement3.csv
64,a04c,PET,transparent,23617.0,38154.0,67246.0,78342.0,35987.0,41112.0,10948.0,6278.0,measurement3.csv
65,a04c,PET,transparent,24070.0,38439.0,67474.0,77787.0,35590.0,41556.0,10643.0,6307.0,measurement3.csv
66,a04c,PET,transparent,23942.0,38388.0,67110.0,77718.0,35886.0,41372.0,10857.0,6484.0,measurement3.csv
67,a04c,PET,transparent,23894.0,38039.0,66981.0,77963.0,35975.0,41599.0,11180.0,6487.0,measurement3.csv
68,3mm pc,PC,transparent,24326.0,38552.0,70620.0,81547.0,38732.0,43906.0,10917.0,6322.0,measurement3.csv
69,3mm pc,PC,transparent,24299.0,38276.0,70557.0,81939.0,38809.0,44223.0,10843.0,6201.0,measurement3.csv
70,3mm pc,PC,transparent,24306.0,38699.0,71327.0,82060.0,38978.0,43760.0,10910.0,6272.0,measurement3.csv
71,3mm pc,PC,transparent,23973.0,38419.0,70783.0,81587.0,38451.0,43307.0,10853.0,6390.0,measurement3.csv
72,cover pp,PP,transparent,25241.0,40255.0,76555.0,85378.0,42985.0,49081.0,17311.0,11371.0,measurement3.csv
73,cover pp,PP,transparent,25386.0,40053.0,76418.0,85188.0,43286.0,49908.0,17310.0,11430.0,measurement3.csv
74,cover pp,PP,transparent,25832.0,40510.0,76768.0,86032.0,43851.0,49808.0,17451.0,11385.0,measurement3.csv
75,cover pp,PP,transparent,25585.0,40358.0,76713.0,85060.0,43475.0,49475.0,17368.0,11249.0,measurement3.csv
76,pvc zak,PVC,transparent,29197.0,44218.0,102698.0,99681.0,50812.0,56745.0,19649.0,12730.0,measurement3.csv
77,pvc zak,PVC,transparent,28685.0,44227.0,102693.0,100144.0,50516.0,56740.0,19672.0,12623.0,measurement3.csv
78,pvc zak,PVC,transparent,28705.0,44094.0,102644.0,99737.0,50604.0,56625.0,19910.0,12764.0,measurement3.csv
79,pvc zak,PVC,transparent,28747.0,43732.0,102572.0,99201.0,50405.0,56404.0,19615.0,12645.0,measurement3.csv
