Reading,Name,PlasticType,Color,nm940,nm1050,nm1200,nm1300,nm1450,nm1550,nm1650,nm1720,SourceFile
48,3mm ps proxy,PS,transparent,24139.07897,37852.47374,67575.5618,77950.94162,38811.87923,43558.4342,12624.2202,7687.53278,measurement1.csv
49,3mm ps proxy,PS,transparent,24335.11485,38351.22153,67325.79902,76488.99493,38979.04412,43821.67251,12193.86214,7272.95357,measurement1.csv
50,3mm ps proxy,PS,transparent,24790.65495,38270.15279,67286.1283,76791.32193,38848.31969,43861.5896,12490.07143,7380.910662,measurement1.csv
51,3mm ps proxy,PS,transparent,24631.31161,37555.53683,67600.49114,76379.15578,38727.33207,43401.31463,12113.73741,7506.690744,measurement1.csv
52,2mm ps,PS,transparent,25920.0,41026.0,76796.0,83430.0,43873.0,48873.0,14034.0,8333.0,measurement1.csv
53,2mm ps,PS,transparent,25889.0,40540.0,76986.0,84181.0,43689.0,48307.0,14038.0,8203.0,measurement1.csv
54,2mm ps,PS,transparent,25920.0,40186.0,76876.0,83861.0,43649.0,48517.0,14040.0,8170.0,measurement1.csv
55,2mm ps,PS,transparent,26481.0,40660.0,77058.0,84365.0,43929.0,48355.0,13749.0,8131.0,measurement1.csv
56,2mm ps,PS,transparent,26030.0,40103.0,76042.0,83297.0,43311.0,48048.0,13718.0,8322.0,measurement1.csv
57,3mm pc,PC,transparent,25107.0,39378.0,71653.0,82082.0,39102.0,43624.0,11402.0,7284.0,measurement1.csv
58,3mm pc,PC,transparent,25436.0,39966.0,72524.0,83190.0,39043.0,44033.0,11588.0,7273.0,measurement1.csv
59,3mm pc,PC,transparent,25358.0,39443.0,71888.0,81959.0,38855.0,43603.0,11519.0,6759.0,measurement1.csv
60,3mm pc,PC,transparent,25469.0,39420.0,72390.0,82901.0,39391.0,43852.0,11278.0,7209.0,measurement1.csv
61,3mm pc,PC,transparent,25135.0,39415.0,71644.0,81826.0,38949.0,43358.0,11558.0,6979.0,measurement1.csv
