fold,accuracy,f1_macro,precision,recall
1,0.3404255319148936,0.3176286676286676,0.34280904280904273,0.33796296296296297
2,0.2765957446808511,0.22564384818254787,0.21222643097643099,0.24999999999999997
3,0.3404255319148936,0.271011396011396,0.3665916929074824,0.3177910052910053
4,0.40425531914893614,0.34216551479709373,0.3363095238095238,0.3740079365079365
5,0.5106382978723404,0.41445830857595567,0.41473341473341474,0.4844576719576719
6,0.3829787234042553,0.3247430122430122,0.4684523809523809,0.3594576719576719
7,0.2553191489361702,0.20707070707070707,0.19444444444444445,0.24074074074074073
8,0.3404255319148936,0.26790890269151135,0.24741924741924745,0.29907407407407405
9,0.2391304347826087,0.1904255588466115,0.16680264180264182,0.22222222222222224
10,0.32608695652173914,0.2827449057426174,0.3826479076479076,0.3055555555555556
