fold,accuracy,f1_macro,precision,recall
1,0.8297872340425532,0.8099550718745765,0.8296296296296296,0.8055555555555555
2,0.851063829787234,0.8575289089994973,0.8544973544973544,0.8703703703703703
3,0.7659574468085106,0.7552299552299552,0.7816618566618567,0.7771164021164022
4,0.9148936170212766,0.9096538136785816,0.9314814814814816,0.9100529100529101
5,0.7872340425531915,0.7650326797385621,0.8076599326599326,0.7708333333333334
6,0.7659574468085106,0.769708726945569,0.7773809523809524,0.7665343915343916
7,0.851063829787234,0.8345700595700595,0.8458874458874459,0.8373015873015873
8,0.7021276595744681,0.682127813706761,0.6994528619528619,0.6930555555555555
9,0.7608695652173914,0.7552355911489038,0.7702380952380953,0.7546296296296297
10,0.782608695652174,0.7792647439706264,0.785515873015873,0.7824074074074074
