fold,accuracy,f1_macro,precision,recall
1,0.2765957446808511,0.2689247628876112,0.29158202908202907,0.29398148148148145
2,0.2765957446808511,0.25425685425685424,0.24365079365079365,0.3032407407407407
3,0.40425531914893614,0.3996208312384783,0.40582010582010586,0.4123677248677248
4,0.2127659574468085,0.1876190476190476,0.19444444444444442,0.21263227513227512
5,0.3617021276595745,0.3679995443153338,0.49429181929181915,0.3621031746031746
6,0.3617021276595745,0.36358543417366945,0.37779581529581535,0.3650793650793651
7,0.3829787234042553,0.38289580789580785,0.4026455026455027,0.3855820105820105
8,0.40425531914893614,0.3876590987272102,0.42213804713804715,0.39305555555555555
9,0.391304347826087,0.39715956558061816,0.432449494949495,0.3958333333333333
10,0.32608695652173914,0.3036538198942292,0.33374183006535946,0.35879629629629634
