fold,accuracy,f1_macro,precision,recall
1,0.8723404255319149,0.8655462184873951,0.9074074074074074,0.8587962962962964
2,1.0,1.0,1.0,1.0
3,0.9787234042553191,0.9790849673202615,0.9814814814814815,0.9791666666666666
4,0.9361702127659575,0.9342480131953815,0.9370370370370371,0.9338624338624338
5,0.8723404255319149,0.8682885097358782,0.8732142857142858,0.8660714285714285
6,0.8723404255319149,0.8714932126696833,0.878968253968254,0.8713624338624338
7,0.9361702127659575,0.9378846815379323,0.9386904761904762,0.9421296296296297
8,0.851063829787234,0.838751226986521,0.8486652236652237,0.8421296296296297
9,0.9347826086956522,0.9349901904081471,0.9410052910052911,0.9398148148148149
10,0.8695652173913043,0.8523391812865498,0.8736652236652237,0.8472222222222222
