fold,accuracy,f1_macro,precision,recall
1,0.7446808510638298,0.7177729677729677,0.7824074074074074,0.7199074074074074
2,0.8297872340425532,0.8261743158801981,0.8357683982683982,0.8379629629629629
3,0.6808510638297872,0.6763422035480859,0.6772486772486772,0.6947751322751322
4,0.851063829787234,0.857022234731213,0.8814814814814814,0.8544973544973544
5,0.723404255319149,0.701059615765498,0.7541666666666668,0.7099867724867724
6,0.6808510638297872,0.6837606837606837,0.7027777777777778,0.6772486772486772
7,0.7021276595744681,0.6807973588159347,0.722008547008547,0.6808862433862434
8,0.6382978723404256,0.613908434187072,0.6192460317460317,0.6231481481481481
9,0.6956521739130435,0.6949260405916754,0.6981481481481482,0.7013888888888888
10,0.782608695652174,0.7709062995827701,0.7969322344322345,0.7708333333333334
