fold,accuracy,f1_macro,precision,recall
1,0.14893617021276595,0.0964325529542921,0.0738562091503268,0.13888888888888887
2,0.3404255319148936,0.21734892787524365,0.180695847362514,0.30787037037037035
3,0.2553191489361702,0.16779788838612367,0.14277777777777778,0.23611111111111108
4,0.2978723404255319,0.18553921568627452,0.16801075268817203,0.26157407407407407
5,0.3829787234042553,0.23890936390936393,0.2375992063492063,0.3541666666666667
6,0.3191489361702128,0.22123015873015875,0.2140151515151515,0.29398148148148145
7,0.2978723404255319,0.21609109109109106,0.19404761904761902,0.27777777777777773
8,0.2765957446808511,0.1873471557682084,0.15239350021958717,0.25
9,0.30434782608695654,0.2072722127900396,0.16792929292929293,0.2800925925925926
10,0.34782608695652173,0.25691735165419377,0.25487012987012986,0.3148148148148148
