fold,accuracy,f1_macro,precision,recall
1,0.3829787234042553,0.330976430976431,0.3503968253968253,0.4212962962962963
2,0.48936170212765956,0.4444444444444444,0.47660256410256413,0.4930555555555556
3,0.48936170212765956,0.40502918134497085,0.48823529411764705,0.4672619047619048
4,0.2978723404255319,0.24123181530676785,0.32681159420289857,0.33002645502645506
5,0.46808510638297873,0.4170274170274171,0.4544973544973545,0.4685846560846561
6,0.46808510638297873,0.4115232223069752,0.4905723905723906,0.47420634920634924
7,0.2978723404255319,0.26338772338772337,0.3598211214310285,0.3187830687830688
8,0.3829787234042553,0.32193732193732194,0.3531746031746032,0.4263888888888889
9,0.3695652173913043,0.27446311858076566,0.28794207741576155,0.34259259259259256
10,0.41304347826086957,0.3906389906389906,0.5319548872180451,0.4421296296296296
