Reading,Name,PlasticType,Color,MeasurementType,nm940,nm1050,nm1200,nm1300,nm1450,nm1550,nm1650,nm1720,nm940_snv,nm1050_snv,nm1200_snv,nm1300_snv,nm1450_snv,nm1550_snv,nm1650_snv,nm1720_snv,nm940_norm,nm1050_norm,nm1200_norm,nm1300_norm,nm1450_norm,nm1550_norm,nm1650_norm,nm1720_norm,SourceFile
10,A03C,PET,transparent,regular,28694.0,42598.0,94477.0,96152.0,50560.0,55883.0,19013.0,12396.0,-0.7179768370353568,-0.248810285686717,1.501757286049192,1.558277278390171,0.0198537017872379,0.1994691759550176,-1.0446455211267105,-1.2679247983328343,0.8299329928461058,0.131440641250864,1.0801127164994564,0.905496386412338,-0.3089638072830366,0.3419781367922551,-0.917823533551363,-2.06217353296661,measurement2.csv
11,A03C,PET,transparent,regular,29133.0,43486.0,95002.0,96181.0,50428.0,56685.0,19006.0,12460.0,-0.7129647104584108,-0.2294606328189737,1.5059393576828892,1.5456558843697767,0.0043918932712493,0.2151690836697693,-1.0541091258596913,-1.2746217498566088,0.9576566570446832,0.4143595490245868,0.9758991332431318,0.694245441178635,-0.5036559660343692,0.4736468896305562,-1.025292955045578,-1.9868587490416432,measurement2.csv
12,A03C,PET,transparent,regular,28736.0,43337.0,95129.0,96454.0,50615.0,56123.0,18916.0,12460.0,-0.7209927874299052,-0.2310187033832199,1.506994977936274,1.5514587585925206,0.0132132933082242,0.1980483905569841,-1.05052812784073,-1.2671758017401478,0.7369464733226962,0.4169353450814858,1.104328419903344,0.8484348063590521,-0.3698368876283323,0.3298887834988001,-1.0885052741011485,-1.9781916664358732,measurement2.csv
13,A04C,PET,transparent,regular,25272.0,39714.0,68410.0,79308.0,36974.0,43061.0,11384.0,7159.0,-0.5765996149149661,0.0339810415916927,1.2471940674271094,1.7079410550056695,-0.0818610162138913,0.1754859202323095,-1.1637581911207882,-1.342383262007136,1.103686945648691,1.2837061184598089,-0.004250749639544,0.707432234663083,-0.2671933933697718,0.1672762736352928,-1.319110525039717,-1.6715469043578446,measurement2.csv
14,A04C,PET,transparent,regular,24841.0,39013.0,67933.0,79155.0,36316.0,42355.0,11748.0,6890.0,-0.5810948322357639,0.0204428146471918,1.2479667172618605,1.724290134797884,-0.0940327028269353,0.16229568057175,-1.136833783028774,-1.3430340291872132,1.0764151552219383,1.2534812642634263,0.0175010385547264,0.7728682652887805,-0.3072098079272804,0.1377709197051513,-1.1549174783342155,-1.7959093567725315,measurement2.csv
15,A04C,PET,transparent,regular,25014.0,39133.0,68106.0,78743.0,36591.0,42427.0,11782.0,7375.0,-0.5826254498111235,0.0207975579834282,1.2590562735320896,1.7136642864161924,-0.0878433716726203,0.1615777398429972,-1.1481395258177465,-1.3364875104732172,1.1366707254049513,1.297247144666097,-0.0156708269009088,0.7329282317259408,-0.3319604323631435,0.1066628559296187,-1.2558817395775483,-1.6699959588850068,measurement2.csv
16,A04C,PET,transparent,regular,25120.0,39335.0,68951.0,79636.0,36856.0,42645.0,11762.0,7097.0,-0.5808772373581164,0.0172408647440276,1.263379852563732,1.71296774710903,-0.0870668929141654,0.1565142321698523,-1.1429357394953266,-1.339222826819034,1.0955019199256055,1.2552198254644829,0.040093339503496,0.7544123239100305,-0.2917724646153327,0.1165675153650089,-1.2163874771143135,-1.753634982438976,measurement2.csv
17,A05C,PET,green,regular,5862.0,8045.0,18069.0,18747.0,10705.0,12902.0,4941.0,3264.0,-0.8105697295474514,-0.4133703200012606,1.4105082330408905,1.5338711279892725,0.0706197988227738,0.4703665247838279,-0.9781467594109612,-1.2832788756770912,-0.2727596322560999,-1.3619682956951582,-0.8456905815705392,-0.7247146969097192,-0.4123737812979832,0.8621027362652839,1.6235079789853055,1.1318962724789063,measurement2.csv
18,A05C,PET,green,regular,5363.0,8089.0,18609.0,18727.0,10814.0,12237.0,4597.0,3233.0,-0.8570416832615758,-0.3748963194393536,1.4857673736676815,1.506637936004814,0.1070721752105201,0.3587570074625459,-0.9925234692805862,-1.233773020364046,-1.1439822042797068,-1.3105529949764962,-0.360578046999107,-0.5965484357802394,-0.0622560168524262,0.6370500343159445,1.2537350641720864,1.58313260039994,measurement2.csv
19,A05C,PET,green,regular,5658.0,8245.0,18387.0,18638.0,10537.0,12411.0,4592.0,3655.0,-0.8378202040008358,-0.3673916263942459,1.4768629673769311,1.522505631845139,0.0493931822158446,0.3901674978071663,-1.0316651455271693,-1.20205230332283,-0.5552597684911591,-0.9790810540221953,-0.5789964386130835,-0.6796007249037214,-0.4980008576311374,0.3717658868573338,0.6567811616427925,2.262391795161176,measurement2.csv
20,A05C,PET,green,regular,5587.0,7986.0,18452.0,18710.0,10556.0,12410.0,4749.0,3326.0,-0.8313493278789829,-0.401056547386711,1.476160726740891,1.5224364822085883,0.0599073733574067,0.3924471045089999,-0.9816558514523568,-1.2368899600978351,-0.6580442019957057,-1.3630953657806295,-0.511403422719519,-0.6306181038310449,-0.4316116744064567,0.6050571616703082,1.3762119303883105,1.6135036766747417,measurement2.csv
21,B01C,HDPE,white,regular,24028.0,36745.0,64774.0,70811.0,33534.0,37913.0,14460.0,9842.0,-0.6110930239362035,0.0113368178103759,1.3832080165455238,1.6786872140468292,-0.1458246370805783,0.0685042358460766,-1.079395982639614,-1.3054226405924096,1.5807547995159694,1.57957765557858,-0.4633861980487782,0.1866672570029431,-1.329609483760507,-0.8630725581592052,-0.2948273569313165,-0.3961041151976823,measurement2.csv
22,B01C,HDPE,white,regular,23961.0,36446.0,63956.0,69848.0,33953.0,38059.0,14193.0,9752.0,-0.6112450346950107,0.0086895110537471,1.374680648702792,1.6672440722952373,-0.1150987807004902,0.0887819757948561,-1.0962687145407348,-1.316783677910397,1.661258913120468,1.5948333398516734,-0.5375338440445107,0.1130951544022062,-1.1873983181462684,-0.7845253958394767,-0.4260097558980197,-0.4337200934460662,measurement2.csv
23,B01C,HDPE,white,regular,24045.0,36281.0,64028.0,70586.0,33825.0,38298.0,14524.0,9663.0,-0.6097069010076925,-0.006177837140355,1.362416551150509,1.6858836646550857,-0.1273177015452406,0.0933087697426475,-1.0793211717727236,-1.3190853740822306,1.67687680130421,1.5122846272241093,-0.5640350399814731,0.1911100491687602,-1.2635581918134031,-0.7621841631975159,-0.2272048261714632,-0.5632892565332209,measurement2.csv
24,B01C,HDPE,white,regular,24006.0,36712.0,64822.0,70812.0,33941.0,38579.0,14251.0,9794.0,-0.6157339833453788,0.0047552446542153,1.377488772048249,1.6700065176580057,-0.1305647341579108,0.0959289727098774,-1.0921130498600993,-1.3097677397069585,1.6087385048083904,1.6077405100734208,-0.4785824180104913,0.1838060325502585,-1.2668351838751115,-0.7277972951807704,-0.4607720008790494,-0.466298149486644,measurement2.csv
25,B02C,HDPE,transparent,regular,21209.0,33508.0,59703.0,67755.0,35842.0,41947.0,15723.0,11095.0,-0.7739768608902445,-0.1237067618661395,1.2612696788149265,1.6869933016576042,-0.0003040127709072,0.3224782422532541,-1.0640314802289097,-1.3087221069695842,0.2725008300911227,0.7935254065588317,-1.875209360576781,-0.4160271770386177,-1.0971257905826877,0.1892428395563123,0.8520347321715549,1.281058519820274,measurement2.csv
26,B02C,HDPE,transparent,regular,21474.0,33518.0,59344.0,68409.0,35579.0,41848.0,16104.0,11338.0,-0.7669324270624692,-0.1289234718352841,1.2391618218958087,1.7193636800105907,-0.0197457520807815,0.3123431004864073,-1.0513983926528034,-1.303868558761469,0.3145271040729199,0.6026418312302245,-1.8128919863158528,-0.3341825797831876,-1.1516690559910057,0.0361846480975323,0.9972498522705237,1.3481401864188538,measurement2.csv
27,B02C,HDPE,transparent,regular,21699.0,33673.0,60010.0,68180.0,35353.0,41987.0,15869.0,10962.0,-0.7506185975937553,-0.1206674257913266,1.2649200146429946,1.6947430540304875,-0.0322827616333109,0.3167314419525677,-1.0573344261897264,-1.3154912994179306,0.5755164136446808,0.8064288368215483,-1.8075022638906044,-0.3597382925299871,-1.308595090690248,0.1530699024126242,0.933439218813643,1.0073812754183518,measurement2.csv
28,B02C,HDPE,transparent,regular,21329.0,33845.0,59727.0,67977.0,35744.0,41966.0,15973.0,11197.0,-0.7746940635650806,-0.1124280662916793,1.2570804461268386,1.6936172372346654,-0.0119452340112232,0.3172828768097341,-1.0580990397073256,-1.3108141565959293,0.2562576532866187,0.8103652094416048,-1.8194569712383388,-0.4212558013374141,-1.137462358581896,0.1023593309046967,0.9542712302094052,1.2549217073153067,measurement2.csv
29,B03C,HDPE,green,regular,21615.0,34320.0,52544.0,60815.0,29622.0,35880.0,13973.0,9769.0,-0.6446838837484506,0.120641981655933,1.2184222706074868,1.7166521197030915,-0.1623569097781318,0.2146135164871679,-1.1050239280947949,-1.3582651668323018,1.2011370380469333,1.5773666484174005,-1.3019630189898053,-0.3533439080136468,-1.3560332396116297,-0.426508785544654,0.2551049744124395,0.4042402912829613,measurement2.csv
30,B03C,HDPE,green,regular,21308.0,34138.0,52626.0,60018.0,29603.0,35868.0,13912.0,9583.0,-0.6557598723636132,0.1215312549853481,1.2416059519789255,1.689441962373588,-0.1532166220627843,0.2263413602319345,-1.103838218261736,-1.3661058168816624,1.1674153854878455,1.6468178371828777,-1.272997191529852,-0.4133851621493571,-1.3458772451661067,-0.379255572947869,0.2905794953935615,0.3067024537289028,measurement2.csv
31,B03C,HDPE,green,regular,21514.0,33753.0,52231.0,60475.0,29128.0,35641.0,13739.0,9692.0,-0.6356942045416906,0.1047453685669567,1.222634283666359,1.7213828612223432,-0.1750596012530851,0.2189662946253869,-1.106069045698626,-1.3509059565876442,1.261627293022427,1.5186709974460353,-1.276911895184058,-0.3166456892848804,-1.410901004290503,-0.3994390613784536,0.1966145982073414,0.4269847614620957,measurement2.csv
32,B03C,HDPE,green,regular,21288.0,33968.0,52488.0,60510.0,29651.0,35354.0,13892.0,9375.0,-0.6487853002526317,0.1145092284944045,1.229352656916732,1.7122508201350857,-0.1453600523100872,0.1979418954378897,-1.0940003108688052,-1.3659089375525877,1.2170429040308368,1.6595272517377373,-1.2688880068959327,-0.3059966702189877,-1.3100283784464668,-0.4661594472776579,0.3238823254078589,0.1506200216626134,measurement2.csv
33,B04C,HDPE,yellow,regular,23803.0,36326.0,54669.0,62098.0,29129.0,34640.0,13698.0,9364.0,-0.5333951964851941,0.195601766322231,1.263396327431917,1.6958580727562291,-0.2233546451865957,0.0974552455769368,-1.1216339818536385,-1.3739275885618858,1.6067198130812013,1.5884551077628486,-0.8919108365990865,-0.2473610442961913,-1.2608094649023265,-0.662867085296798,-0.0461860731823663,-0.0860404165672835,measurement2.csv
34,B04C,HDPE,yellow,regular,23539.0,36732.0,54518.0,62010.0,28622.0,34786.0,13766.0,9581.0,-0.5489022468899714,0.2210578650921016,1.2590712473185208,1.6963138122370147,-0.252251958918708,0.1074868518337741,-1.1192668473902971,-1.363508723282435,1.4766880280268546,1.643984036866379,-0.9052241169214787,-0.264139194166793,-1.3477864805136706,-0.6379884639640245,-0.0237370297731723,0.0582032204459066,measurement2.csv
35,B04C,HDPE,yellow,regular,23611.0,36498.0,55422.0,62834.0,29381.0,35071.0,13537.0,9488.0,-0.5505950049610826,0.1870423190437485,1.2702307041968035,1.6944852122687994,-0.2203267222336925,0.1053624508544962,-1.1272193862774995,-1.358979572891573,1.5519986234972112,1.6448374677200637,-0.8694716890790168,-0.2087410942329837,-1.2847066145562125,-0.638530805360002,-0.1646840531982711,-0.0307018347907876,measurement2.csv
36,B04C,HDPE,yellow,regular,23887.0,36640.0,55291.0,62412.0,29168.0,34946.0,13538.0,9427.0,-0.5343670546178925,0.2002517369730129,1.274616598728049,1.6848118794399471,-0.2301624095624881,0.1026712278414365,-1.1305067765793353,-1.36731520222273,1.5961047317439288,1.620810321723252,-0.8470019306103042,-0.2412549239380743,-1.273248692631839,-0.632651500929232,-0.1537267188267702,-0.0690312865309611,measurement2.csv
37,B05C,HDPE,gray,regular,6709.0,9485.0,18515.0,18884.0,9970.0,10684.0,4088.0,2849.0,-0.6165341955979579,-0.1188607652461314,1.50001210077584,1.5661653773607909,-0.0319113366724153,0.09609256436188,-1.0864196642406585,-1.3085440807413475,2.1528344416718914,0.931566954787475,-0.3189545316335633,-0.3888342740001195,-1.0283523637695766,-1.0625116493215727,-0.2358718043160753,-0.0498767734184571,measurement2.csv
38,B05C,HDPE,gray,regular,6962.0,9878.0,18402.0,18788.0,9841.0,10869.0,3667.0,2868.0,-0.5735531341926289,-0.0504737521039762,1.478582713233361,1.5478243598335737,-0.0571109047573644,0.1272943095043416,-1.1646184853524748,-1.307945106164832,2.0167451827092577,1.139621970893898,-0.2738406883302367,-0.3140708652193124,-0.8483945582117647,-0.5894793003119241,-1.1792960382799174,0.0487142967500009,measurement2.csv
39,B05C,HDPE,gray,regular,6862.0,9818.0,18403.0,18518.0,9926.0,10616.0,3936.0,3209.0,-0.6072481734563099,-0.0631361392832719,1.5171080465677191,1.5382761399134226,-0.0432565385760026,0.0837520214982179,-1.145838096321773,-1.2796572603420024,1.706993769674982,0.9210602065275072,-0.4491539437116609,-0.634250992888637,-0.9536388450443284,-0.9973490498406128,-0.7043323554033352,1.1106712106860783,measurement2.csv
40,B05C,HDPE,gray,regular,6731.0,9689.0,18520.0,18647.0,9807.0,10656.0,4015.0,2901.0,-0.6128947002669092,-0.0780639536367691,1.5186535323303598,1.5416161776386856,-0.0567285824054112,0.0967776055219007,-1.1039698550496884,-1.3053902241321684,1.9900824898751333,1.131659148387434,-0.2805472555202033,-0.5006635921006148,-1.1138054720064752,-0.9841068506384618,-0.4304108975952962,0.1877924295984907,measurement2.csv
41,C01C,PVC,transparent,regular,26222.0,38993.0,79913.0,86594.0,44647.0,49139.0,17494.0,11794.0,-0.710284219823863,-0.2098820810087724,1.3934736092514663,1.6552531636656562,0.0116568503874003,0.1876654955645506,-1.0522707414414427,-1.2756120765949952,1.6413187188597518,0.7167373366181808,-0.5174575401119138,1.2616406526284425,-1.0250719034129203,-0.2773234638157877,-0.5954047030788511,-1.2044390976869173,measurement2.csv
42,C01C,PVC,transparent,regular,25739.0,38715.0,79937.0,86335.0,44266.0,49463.0,17383.0,11640.0,-0.721396775318058,-0.2139170275969233,1.3982385026558986,1.6484585570578576,0.0031776147890214,0.2064276339711066,-1.0481924574972967,-1.272796048061606,1.269686927628483,0.708662036140416,-0.3211578027491378,1.4109755138457754,-1.128628663874374,0.1329906705852187,-0.616429705459166,-1.456098976117223,measurement2.csv
43,C01C,PVC,transparent,regular,26018.0,38925.0,79716.0,85878.0,44027.0,49131.0,17347.0,11955.0,-0.7141961365318301,-0.2050935547852963,1.4038630898279256,1.646916480137226,-0.0038507119813283,0.1974710186481214,-1.0562143039079976,-1.2688958814068207,1.5909687571669973,0.8253991278050251,-0.5056807192218763,1.1741578155609198,-1.4149992951938593,-0.1746979995862558,-0.7843123052208271,-0.7108353813101116,measurement2.csv
44,C01C,PVC,transparent,regular,25628.0,38383.0,78558.0,85575.0,43825.0,48983.0,17502.0,11551.0,-0.7197937476803031,-0.2131911306939523,1.382478029433578,1.6611789752111727,0.0029540234918353,0.2078192762096399,-1.0425419143311137,-1.2789035116408567,1.3558563291537105,0.6601959178194317,-0.631721808402733,1.3435359993627347,-1.1910262236099916,0.0570084091194518,-0.1528500152573024,-1.4409986081853017,measurement2.csv
45,C02C,PVC,white,regular,25389.0,38251.0,65597.0,77822.0,34940.0,41084.0,14690.0,9354.0,-0.5897703357716993,-0.0063447868646688,1.2340808903559544,1.7886118602975225,-0.1565330929159189,0.1221612448608495,-1.075081325334467,-1.317124454627572,1.5552502280949123,1.39908923214368,-0.6125632220775611,0.6928173792005071,-1.1283509110475562,-0.3935568431224248,-0.4430184999232017,-1.0696673632683606,measurement2.csv
46,C02C,PVC,white,regular,25215.0,38343.0,65998.0,77882.0,35470.0,41065.0,14408.0,9435.0,-0.5987685096445331,-0.0060499909736365,1.2425507581003767,1.7791036889264686,-0.1357636034158581,0.1168460943266514,-1.0866957667496808,-1.3112226705697885,1.5198076761583028,1.4585866527226952,-0.5809957572188271,0.7152826500966313,-1.0415949645625715,-0.4122211595012931,-0.6260103231246353,-1.032854774570297,measurement2.csv
47,C02C,PVC,white,regular,25402.0,37803.0,65391.0,76841.0,35327.0,41429.0,14662.0,9434.0,-0.5914315544152466,-0.0221773205186123,1.2442194059341212,1.7698190332316346,-0.1358353709281008,0.1442702121085303,-1.0844394144305562,-1.3244249909817702,1.6510290723510137,1.353642317502079,-0.6656386720639981,0.6093314746165651,-1.0906601110227787,-0.3321036339145437,-0.4765877792802414,-1.0490126681880902,measurement2.csv
48,C02C,PVC,white,regular,25143.0,38207.0,66356.0,77446.0,35134.0,41382.0,14673.0,9345.0,-0.6025108594168603,-0.0114799519871621,1.2620143080586566,1.7637391062365004,-0.1505061291558288,0.1321608265714181,-1.076186119734446,-1.3172311805722776,1.51098167145646,1.4416375289743757,-0.5410567969939637,0.6700844302151352,-1.1332551268003952,-0.3486391702964119,-0.4747305472589673,-1.1250219892962277,measurement2.csv
49,C03C,PVC,white,regular,28132.0,43750.0,88869.0,94316.0,49407.0,55268.0,19764.0,13204.0,-0.7478831739117616,-0.1905238786892727,1.4196370920588046,1.61402408662129,0.0113573822323317,0.2205187876170805,-1.046511844831328,-1.2806184510971446,0.756229846735507,1.5065176312738613,-0.6020272325243574,0.9199378741222644,-1.5129763969521943,0.2255671806966481,-0.024702402352299,-1.2685465009994727,measurement2.csv
50,C03C,PVC,white,regular,28539.0,43996.0,89206.0,94411.0,49039.0,55047.0,19820.0,13534.0,-0.7380964056017869,-0.1858816843342738,1.4292847482531796,1.6152378843208128,-0.0057161386687456,0.2089248683426549,-1.0495902371817474,-1.2741630351300934,1.0973357613452763,1.4339371094282478,-0.6197329458915957,0.6904715704735246,-1.91724733155568,-0.1642633337537934,-0.1178103416427399,-0.4026904884032262,measurement2.csv
51,C03C,PVC,white,regular,28116.0,43266.0,88389.0,93566.0,48910.0,55033.0,19624.0,13151.0,-0.742000361217868,-0.1973865562095677,1.4246998281725798,1.6108031726298715,0.0055045537222373,0.2256148063998494,-1.0472716768700454,-1.2799637666270571,1.0137236085022254,1.2900704202041962,-0.5630097413990709,0.8461036568566184,-1.673396634771201,0.3165775481405517,-0.0590672305274367,-1.1710016270059405,measurement2.csv
52,C03C,PVC,white,regular,27897.0,43634.0,88382.0,93774.0,49068.0,54715.0,19551.0,12889.0,-0.7466642198249106,-0.1828797570334167,1.420235648761447,1.6134062545549104,0.0117955159416724,0.2141016010521488,-1.0456630840593777,-1.2843319593924736,0.6786965405100537,1.5459248944744146,-0.3793105838373943,0.9200050724301252,-1.213703058564438,0.1604594897220104,-0.0831250770131267,-1.628947277721649,measurement2.csv
53,C04C,PVC,transparent,regular,23340.0,35950.0,72496.0,82230.0,44055.0,50218.0,16920.0,11598.0,-0.7859598102632557,-0.2576820403074485,1.2733599407238705,1.6811518370561325,0.0818652495808796,0.3400552492825164,-1.0549164544437697,-1.277873971628925,-0.4964282380879841,-0.297192051907042,-1.807046569030905,1.0383112357846978,0.0645325129430588,1.8071310203172624,-0.1099007300464921,-0.1994071799725956,measurement2.csv
54,C04C,PVC,transparent,regular,23722.0,36440.0,73413.0,82423.0,44500.0,50076.0,17100.0,11610.0,-0.7794083652712237,-0.2490011314365433,1.2929666824154489,1.6687308888040686,0.0871430975859069,0.3196915121056567,-1.055580460133093,-1.284542224070221,-0.2973930408090352,-0.1545866410098468,-1.930203672350497,1.008816732708946,0.1484837707901763,1.7086895550862835,-0.0350688250095978,-0.4487378794064129,measurement2.csv
55,C04C,PVC,transparent,regular,23770.0,36332.0,73212.0,82595.0,44571.0,49985.0,17243.0,11729.0,-0.7794542564834512,-0.2547114296610947,1.2858486287060849,1.6777975177423985,0.08945002155602,0.3156049064800957,-1.0521016399151917,-1.2824337484248616,-0.2981431352948653,-0.3177677854642011,-2.0676716677835496,1.0028335818589802,0.1312242829228449,1.565065882014366,0.1688946345753679,-0.1844357928289432,measurement2.csv
56,C04C,PVC,transparent,regular,23456.0,36261.0,72980.0,82752.0,44121.0,49627.0,16872.0,11707.0,-0.7818607021710794,-0.248357222937323,1.281491605956414,1.6886291302884924,0.0791193367485281,0.3085195832663777,-1.0561744005135278,-1.2713673306378817,-0.4863220786399172,-0.1460127712550718,-1.9087885858645768,1.2847552143351773,0.0332409764328652,1.53518828365121,-0.3000829498379869,-0.0119780888217075,measurement2.csv
57,C05C,PVC,blue,regular,20356.0,29536.0,57450.0,56194.0,27881.0,28099.0,9836.0,6699.0,-0.5188150836983711,0.0016797013078222,1.5843693994192474,1.5131557338454151,-0.0921567768169326,-0.0797964431424936,-1.1152862316575385,-1.293150299257149,1.6505842518133789,1.2217710989582244,0.531548548883378,0.1993170462882781,-0.5220525888679807,-0.9058036653877034,-1.060748092921941,-1.114616598765637,measurement2.csv
58,C05C,PVC,blue,regular,20384.0,29864.0,57741.0,56157.0,27962.0,28014.0,9617.0,6738.0,-0.5180816302311164,0.0171858697583648,1.5911998040628763,1.501762702798811,-0.0902064071382589,-0.0872703406826204,-1.1260167749976506,-1.2885732235704055,1.6054474893569266,1.2642273261428905,0.5457667536524763,0.1839687868475915,-0.4930399638686861,-0.8992313610044225,-1.1541904839336472,-1.052948547193126,measurement2.csv
59,C05C,PVC,blue,regular,20500.0,29711.0,57722.0,56167.0,27764.0,28380.0,9392.0,7089.0,-0.5143008395494242,0.0068101988103966,1.5915286110888616,1.5035547032993142,-0.1033410542225608,-0.0684909402686307,-1.142734387926461,-1.2730262912314951,1.6534001868637829,1.2193527755979194,0.5274416265792685,0.1634005905826552,-0.5689524122768529,-0.863982930395772,-1.3246783196853076,-0.8059815172656934,measurement2.csv
60,C05C,PVC,blue,regular,20570.0,29747.0,57782.0,55983.0,27521.0,28306.0,9427.0,6684.0,-0.50430459979547,0.0138038034872647,1.5965834794196467,1.495016843535846,-0.1118700883845198,-0.0675511283129336,-1.1334080037160883,-1.2882703062337455,1.6472854488707398,1.2152294310652192,0.5530869316446398,0.1773956074198077,-0.5507631847409219,-0.795958819547981,-1.2022786476864378,-1.0439967670250696,measurement2.csv
61,C06C,PVC,gray,regular,4688.0,6117.0,13096.0,12528.0,6853.0,7317.0,2870.0,2152.0,-0.5985785346109163,-0.2208697634196597,1.623797496303069,1.473665528467776,-0.0263325656612518,0.0963104503168748,-1.079106558421766,-1.268886052974126,2.008416227217814,-0.0891651667336967,-0.0293450298723151,-0.8480872791911079,-0.991975243160916,-1.062724619347288,-0.0466589360378279,1.0595400471253331,measurement2.csv
62,C06C,PVC,gray,regular,4310.0,5920.0,13073.0,12876.0,7086.0,7186.0,2679.0,2086.0,-0.6621310625548001,-0.2508536664463016,1.5763930505500277,1.5260690461814723,0.0470031309838284,0.0725483108663438,-1.0787729464386269,-1.2302558631419436,1.6744533376951496,-0.2866352504899109,0.3446176511391814,-0.358459161824088,-0.4722851021275736,-1.4323073114394294,-0.8418185244652127,1.3724343615118937,measurement2.csv
63,C06C,PVC,gray,regular,4404.0,5929.0,13264.0,12754.0,6899.0,7036.0,2471.0,2179.0,-0.6259653463611166,-0.2383903755122725,1.6257816973902002,1.496166461237472,0.008132720699779,0.0429509311957079,-1.117232506132143,-1.1914435825176266,1.4340124305466968,-0.1138304507867773,0.4559356539035279,-0.2855217355894522,-0.5497564668806112,-1.1056973727828756,-1.3498529623469482,1.51471090393644,measurement2.csv
64,C06C,PVC,gray,regular,4148.0,6142.0,13423.0,12636.0,7329.0,7384.0,2536.0,1880.0,-0.6960004692966658,-0.1979920595801316,1.6204629209344548,1.4239069437795338,0.098465303676401,0.1122017442653726,-1.0986030552861608,-1.262441328492804,1.32724701687304,0.6509453439687843,1.1816795526978656,-0.5426428453404165,0.3671562585972947,-0.8963707484980296,-1.7531162426676674,-0.3348983356308674,measurement2.csv
65,D01C,LDPE,white,regular,28026.0,41860.0,87582.0,91670.0,47134.0,53343.0,19897.0,13403.0,-0.7288826460143086,-0.2206070173420032,1.4592670822788687,1.6094644778269664,-0.0268347413829358,0.2012904124717947,-1.0275506079542516,-1.2661469598841308,1.2028067010819137,0.3146943109338113,-0.3497629157405043,0.4138146377661336,-2.2568617975681486,-0.4182146805973756,0.9304421406257368,0.1630816034984292,measurement2.csv
66,D01C,LDPE,white,regular,28435.0,41633.0,87718.0,91738.0,47147.0,53222.0,19789.0,13183.0,-0.7122191495831668,-0.2282667301759583,1.461606527013101,1.60901437108167,-0.0260759709236968,0.1966858829858948,-1.0292560201843737,-1.27148891021347,1.6738525121833772,0.1565715145926454,-0.2193234796804045,0.4591698765197639,-2.0241033016394807,-0.4108356222961635,0.7220062441597445,-0.3573377438394709,measurement2.csv
67,D01C,LDPE,white,regular,28252.0,41553.0,87169.0,91659.0,46425.0,53402.0,19508.0,13328.0,-0.7137334257429496,-0.2246366562526367,1.452728822814359,1.6178325364457782,-0.045486256962598,0.2110679991635513,-1.0352627958973213,-1.262510223568183,1.5020502950590062,0.210077280751803,-0.2872761793034676,0.5330411171859959,-2.2740798305930605,-0.160945838400359,0.343164256082976,0.1339688992171169,measurement2.csv
68,D01C,LDPE,white,regular,27596.0,41569.0,87213.0,91746.0,46978.0,53418.0,19949.0,13244.0,-0.7387066866876055,-0.2256395627341599,1.4503380945857478,1.6167829004886296,-0.0270293807070944,0.2094375396579088,-1.0194927953880992,-1.265690109215327,0.8173314718523559,0.2351920687141778,-0.343473966051988,0.6355156229974879,-2.273034610922925,-0.2030406804173435,1.2390789202948167,-0.1075688264665859,measurement2.csv
69,D02C,LDPE,transparent,regular,26781.0,40473.0,95619.0,90409.0,45960.0,54967.0,18453.0,13065.0,-0.7396394133049613,-0.2671783960621954,1.635709075225386,1.4559309639315785,-0.0778420243406751,0.2329567181590028,-1.027008340532375,-1.21292858307576,-0.0268055971450068,-0.2833821854713705,2.043631276130636,0.2030487880660775,-1.5966577170991898,0.671044904520354,-0.8142783767763131,-0.1966010922251972,measurement2.csv
70,D02C,LDPE,transparent,regular,27213.0,40204.0,94609.0,90099.0,45706.0,55362.0,18961.0,13304.0,-0.7331797269158313,-0.2789556687180625,1.6232889534241604,1.4655989755570262,-0.0865808886238338,0.2510365007963537,-1.0217069325388002,-1.2195012129810123,0.2223848113856934,-0.5697482838229783,1.782195922711311,0.016968640255315,-1.9287951244514456,0.7624588898026137,-0.3741221039703702,0.0886572480898558,measurement2.csv
71,D02C,LDPE,transparent,regular,26835.0,40551.0,95305.0,90096.0,45906.0,55018.0,18855.0,12974.0,-0.7411692932159848,-0.2651829640224721,1.6349450229024036,1.4541771030446458,-0.0793484063648998,0.2368653171413182,-1.0180992222743277,-1.222187557210683,-0.0129159158763999,-0.2843044151181977,2.029380346295338,0.1030000792989744,-1.7282271758196883,0.6943396115903315,-0.4082214800080366,-0.3930510503623314,measurement2.csv
72,D02C,LDPE,transparent,regular,26448.0,40321.0,95321.0,90210.0,45916.0,55637.0,18708.0,12958.0,-0.7516911147379013,-0.2720539705284481,1.629484480528996,1.4527796982861854,-0.0786156499163317,0.2574726279514758,-1.019289434941258,-1.218086636642718,-0.2816981987239284,-0.3495304360618779,1.9783063827519267,0.1677974183617375,-1.5987806708622387,0.954017830806302,-0.5119492586386056,-0.3581630676333325,measurement2.csv
73,D03C,LDPE,red,regular,20652.0,31659.0,54634.0,63050.0,33794.0,40077.0,15696.0,10388.0,-0.758651458897146,-0.120808801644992,1.2105653284874904,1.6982625941760638,0.0029119281845117,0.3670043616827658,-1.0458458087964533,-1.3534381431922409,0.5257320520908084,0.5558360972660641,-1.9032424844889897,-0.5852198815789134,-0.9687567487919266,0.2159758707138624,1.3373295911888052,0.8223455036002969,measurement2.csv
