Reading,Name,PlasticType,Color,MeasurementType,nm940,nm1050,nm1200,nm1300,nm1450,nm1550,nm1650,nm1720,nm940_snv,nm1050_snv,nm1200_snv,nm1300_snv,nm1450_snv,nm1550_snv,nm1650_snv,nm1720_snv,nm940_norm,nm1050_norm,nm1200_norm,nm1300_norm,nm1450_norm,nm1550_norm,nm1650_norm,nm1720_norm,SourceFile
17,4mm pmma,PMMA,transparent,regular,22772.0,35749.0,52676.0,70250.0,26686.0,35012.0,10541.0,6500.0,-0.4925415918,0.1629346022,1.017927708,1.905601179,-0.2948430618,0.1257082822,-1.11033687,-1.314450248,1.276767551,1.514635826,-0.5109889586,0.8132236882,-0.8956791931,-0.08122439598,-0.8301356562,-1.28659886,measurement1.csv
18,5mm pmma,PMMA,transparent,regular,21014.0,33766.0,45141.0,63925.0,22893.0,30848.0,9173.0,5947.0,-0.4538621937,0.2629302137,0.9023211824,1.958173486,-0.3482432372,0.09890886448,-1.119447113,-1.300781203,1.264754478,1.614717129,-0.6287444734,0.7751103724,-0.9478587429,-0.156009378,-0.8443426829,-1.077626703,measurement1.csv
19,5mm pmma,PMMA,transparent,regular,21082.0,33274.0,45461.0,63398.0,22825.0,31065.0,9159.0,5835.0,-0.4479093376,0.2406975245,0.9290219855,1.942107721,-0.3494643113,0.1159327149,-1.12132302,-1.309063277,1.312671568,1.561792843,-0.5930615179,0.7577947705,-0.95153048,-0.1121270462,-0.8422375162,-1.133302621,measurement1.csv
20,5mm pmma,PMMA,transparent,regular,21241.0,33444.0,45480.0,64047.0,22601.0,30886.0,8928.0,5808.0,-0.4363492013,0.2451449422,0.9173127297,1.954213636,-0.3603980389,0.1022897411,-1.123986453,-1.298227356,1.315171978,1.544296486,-0.5684324065,0.7873165703,-0.9485164788,-0.1278044846,-0.8951731173,-1.106858547,measurement1.csv
21,5mm pmma,PMMA,transparent,regular,21035.0,33221.0,45277.0,64017.0,22560.0,31121.0,9191.0,5711.0,-0.4467860283,0.2353475649,0.9102041709,1.959209877,-0.3614213697,0.1177962318,-1.109775547,-1.304574899,1.28997968,1.538527972,-0.5899232779,0.8041740803,-0.9665086829,-0.09396917157,-0.8088064706,-1.173474129,measurement1.csv
22,5mm pmma,PMMA,transparent,regular,21120.0,33445.0,45261.0,64026.0,22717.0,31460.0,9095.0,5773.0,-0.4472783376,0.2424888408,0.903769894,1.953950917,-0.35790242,0.1313985488,-1.120256051,-1.306171391,1.287547616,1.550807007,-0.6026693579,0.7837219739,-0.9529119325,-0.06429870173,-0.8540996969,-1.148096908,measurement1.csv
23,5mm pmma,PMMA,transparent,regular,20939.0,32994.0,44709.0,63780.0,22940.0,30804.0,8962.0,5623.0,-0.4449355909,0.233594879,0.8929880317,1.966422672,-0.3323068501,0.1103280413,-1.119075735,-1.307015448,1.295917203,1.530295498,-0.6045248597,0.81660907,-0.8809178831,-0.1050220074,-0.8628337794,-1.189523242,measurement1.csv
24,5mm pmma,PMMA,transparent,regular,21203.0,33133.0,44921.0,63646.0,22878.0,30836.0,9397.0,5610.0,-0.4380646233,0.2362722742,0.9025826973,1.961003352,-0.3433861402,0.1064355723,-1.105392487,-1.319450645,1.334504899,1.523946366,-0.619007275,0.7753110123,-0.9214560126,-0.1320100598,-0.7330843628,-1.228204566,measurement1.csv
25,6mm pmma,PMMA,transparent,regular,19692.0,31015.0,39689.0,58520.0,19958.0,27518.0,8304.0,5549.0,-0.4086630026,0.293652151,0.8316616575,1.999664542,-0.3921642098,0.07674884864,-1.115009816,-1.28589017,1.349643131,1.576212388,-0.7042756174,0.7619765404,-1.020125666,-0.2196084946,-0.80841628,-0.9354060015,measurement1.csv
26,6mm pmma,PMMA,transparent,regular,19657.0,31067.0,39310.0,58107.0,20117.0,27655.0,8210.0,5604.0,-0.4103927928,0.303537838,0.819307355,1.995447063,-0.3816103134,0.09004692542,-1.126638536,-1.289697539,1.348148599,1.594420064,-0.7347022466,0.7343047384,-0.9960633746,-0.1978434954,-0.8438759271,-0.9043883572,measurement1.csv
