fold,accuracy,f1_macro,precision,recall
1,0.40425531914893614,0.3773670759351874,0.41123737373737373,0.3796296296296296
2,0.46808510638297873,0.45263806005493984,0.4692460317460317,0.4537037037037037
3,0.3829787234042553,0.3795733678086619,0.39351851851851855,0.3878968253968254
4,0.425531914893617,0.38359116373822255,0.3808251933251934,0.39814814814814814
5,0.2765957446808511,0.24660154660154657,0.2886243386243386,0.267526455026455
6,0.5319148936170213,0.5076112612877319,0.5069444444444444,0.5188492063492064
7,0.2978723404255319,0.27604686185921884,0.2915584415584415,0.27843915343915343
8,0.2978723404255319,0.26915204678362575,0.2567821067821068,0.2949074074074074
9,0.32608695652173914,0.2993247006404901,0.3028619528619529,0.3125
10,0.391304347826087,0.3787674313990103,0.4209355459355459,0.3912037037037037
