fold,accuracy,f1_macro,precision,recall
1,0.6595744680851063,0.6518518518518518,0.7365319865319865,0.6412037037037037
2,0.46808510638297873,0.4299074074074074,0.4836309523809524,0.4444444444444445
3,0.6170212765957447,0.5959472172707467,0.6444444444444444,0.5968915343915344
4,0.5319148936170213,0.5250164690382082,0.6469336219336219,0.5284391534391534
5,0.5531914893617021,0.5193691298954456,0.6964285714285715,0.5390211640211641
6,0.6170212765957447,0.6032910559226349,0.6749999999999999,0.6081349206349206
7,0.48936170212765956,0.4176068376068376,0.5716619981325864,0.46593915343915343
8,0.425531914893617,0.38721268984426876,0.376984126984127,0.40277777777777773
9,0.5,0.4694444444444444,0.5015151515151515,0.4768518518518519
10,0.6521739130434783,0.6131996658312447,0.7543040293040293,0.6180555555555555
