2025-05-04 22:13:04,076  trial=036  acc=0.3974  {'layer_sizes': (64, 64), 'lr_init': 0.00795616679169026, 'alpha': 0.00017832679853256586, 'batch': 32}
2025-05-04 22:13:04,524  trial=037  acc=0.4102  {'layer_sizes': (128, 128), 'lr_init': 0.003722049091513661, 'alpha': 0.0003768604369639878, 'batch': 32}
2025-05-04 22:13:04,685  trial=038  acc=0.3508  {'layer_sizes': (64, 64), 'lr_init': 0.005251109047053137, 'alpha': 0.0005653122291015066, 'batch': 128}
2025-05-04 22:13:05,077  trial=039  acc=0.4639  {'layer_sizes': (64, 64), 'lr_init': 0.0014246974955911314, 'alpha': 7.911640005309286e-05, 'batch': 32}
2025-05-04 22:13:05,494  trial=040  acc=0.4572  {'layer_sizes': (128, 128), 'lr_init': 0.007967773512812706, 'alpha': 0.0012634369757898096, 'batch': 64}
2025-05-04 22:13:05,812  trial=041  acc=0.4722  {'layer_sizes': (64, 64), 'lr_init': 0.0026423228620566105, 'alpha': 5.353358217136005e-05, 'batch': 32}
2025-05-04 22:13:06,230  trial=042  acc=0.5359  {'layer_sizes': (64, 64), 'lr_init': 0.0018440228366147073, 'alpha': 7.662421065746062e-05, 'batch': 32}
2025-05-04 22:13:06,498  trial=043  acc=0.4978  {'layer_sizes': (64, 64), 'lr_init': 0.002049658055138163, 'alpha': 9.023329378216384e-05, 'batch': 32}
2025-05-04 22:13:06,842  trial=044  acc=0.4895  {'layer_sizes': (64, 64), 'lr_init': 0.0019564619336468465, 'alpha': 0.00020847250139291237, 'batch': 32}
2025-05-04 22:13:06,919  trial=045  acc=0.2265  {'layer_sizes': (64, 64), 'lr_init': 0.0012491258605196486, 'alpha': 9.308062590251964e-05, 'batch': 128}
2025-05-04 22:13:07,123  trial=046  acc=0.3825  {'layer_sizes': (128,), 'lr_init': 0.013761594833482322, 'alpha': 0.0004159077440709141, 'batch': 32}
2025-05-04 22:13:07,515  trial=047  acc=0.4268  {'layer_sizes': (64, 64), 'lr_init': 0.0006092920784769437, 'alpha': 0.0006291641874980093, 'batch': 32}
2025-05-04 22:13:07,837  trial=048  acc=0.4614  {'layer_sizes': (64, 64), 'lr_init': 0.0009594983041108259, 'alpha': 0.0001308754792529416, 'batch': 32}
2025-05-04 22:13:08,086  trial=049  acc=0.2394  {'layer_sizes': (64, 64), 'lr_init': 0.0003978507608220621, 'alpha': 4.107147272519819e-05, 'batch': 32}
2025-05-04 22:13:08,407  trial=050  acc=0.3804  {'layer_sizes': (128, 128), 'lr_init': 0.0017108867022326121, 'alpha': 2.1153734236544135e-05, 'batch': 128}
2025-05-04 22:13:08,751  trial=051  acc=0.4919  {'layer_sizes': (64, 64), 'lr_init': 0.0019589836740163055, 'alpha': 0.0001875423602474163, 'batch': 32}
2025-05-04 22:13:09,060  trial=052  acc=0.4334  {'layer_sizes': (64, 64), 'lr_init': 0.0030823283568015233, 'alpha': 0.0003141417530391668, 'batch': 32}
2025-05-04 22:13:09,485  trial=053  acc=0.5255  {'layer_sizes': (64, 64), 'lr_init': 0.0008736609893298254, 'alpha': 0.00015467735850369652, 'batch': 32}
2025-05-04 22:13:09,793  trial=054  acc=0.4403  {'layer_sizes': (64, 64), 'lr_init': 0.0009049237547331415, 'alpha': 8.635501362498947e-05, 'batch': 32}
2025-05-04 22:13:09,996  trial=055  acc=0.3892  {'layer_sizes': (128,), 'lr_init': 0.0011479961604211034, 'alpha': 0.00013875173252481343, 'batch': 32}
2025-05-04 22:13:10,507  trial=056  acc=0.4868  {'layer_sizes': (64, 64), 'lr_init': 0.0006736355112370684, 'alpha': 0.0008100566203557595, 'batch': 32}
2025-05-04 22:13:10,888  trial=057  acc=0.5066  {'layer_sizes': (64, 64), 'lr_init': 0.004466518403836753, 'alpha': 0.009225659060357001, 'batch': 32}
2025-05-04 22:13:11,238  trial=058  acc=0.5066  {'layer_sizes': (64, 64), 'lr_init': 0.006352109166467042, 'alpha': 0.0035860118946096178, 'batch': 32}
2025-05-04 22:13:11,360  trial=059  acc=0.3655  {'layer_sizes': (64,), 'lr_init': 0.010179561848082781, 'alpha': 0.006535192822727195, 'batch': 64}
2025-05-04 22:13:11,714  trial=060  acc=0.4897  {'layer_sizes': (64, 64), 'lr_init': 0.007085174135025636, 'alpha': 0.003419982303112132, 'batch': 32}
2025-05-04 22:13:12,003  trial=061  acc=0.4959  {'layer_sizes': (64, 64), 'lr_init': 0.004258928488849219, 'alpha': 0.009997236052720834, 'batch': 32}
2025-05-04 22:13:12,344  trial=062  acc=0.4875  {'layer_sizes': (64, 64), 'lr_init': 0.006644628285614295, 'alpha': 0.0034009942557978686, 'batch': 32}
2025-05-04 22:13:12,487  trial=063  acc=0.2158  {'layer_sizes': (64, 64), 'lr_init': 0.01959095125325374, 'alpha': 0.0016412972775463077, 'batch': 32}
2025-05-04 22:13:12,742  trial=064  acc=0.4572  {'layer_sizes': (64, 64), 'lr_init': 0.004535108566817991, 'alpha': 0.009702760145933055, 'batch': 32}
2025-05-04 22:13:12,920  trial=065  acc=0.2546  {'layer_sizes': (64, 64), 'lr_init': 0.010327382556403655, 'alpha': 4.450147496450437e-05, 'batch': 32}
2025-05-04 22:13:13,109  trial=066  acc=0.4360  {'layer_sizes': (128,), 'lr_init': 0.0030783505135761496, 'alpha': 0.006139213225899617, 'batch': 32}
2025-05-04 22:13:13,430  trial=067  acc=0.4852  {'layer_sizes': (64, 64), 'lr_init': 0.005570517970584626, 'alpha': 2.5653134119839424e-05, 'batch': 32}
2025-05-04 22:13:13,857  trial=068  acc=0.5045  {'layer_sizes': (64, 64), 'lr_init': 0.00144072834654513, 'alpha': 0.0023259091241960204, 'batch': 32}
2025-05-04 22:13:14,289  trial=069  acc=0.4678  {'layer_sizes': (128, 128), 'lr_init': 0.0012948887154011286, 'alpha': 0.0034053724116523037, 'batch': 128}
2025-05-04 22:13:14,483  trial=070  acc=0.4120  {'layer_sizes': (64,), 'lr_init': 0.006597320398878715, 'alpha': 0.002398703412781123, 'batch': 32}
2025-05-04 22:13:14,834  trial=071  acc=0.5147  {'layer_sizes': (64, 64), 'lr_init': 0.0016432539247178237, 'alpha': 0.004391107311374875, 'batch': 32}
2025-05-04 22:13:15,273  trial=072  acc=0.4556  {'layer_sizes': (64, 64), 'lr_init': 0.000816402967940703, 'alpha': 0.004789619783073054, 'batch': 32}
2025-05-04 22:13:15,531  trial=073  acc=0.2636  {'layer_sizes': (64, 64), 'lr_init': 0.0005518728632402495, 'alpha': 0.006982099340856918, 'batch': 32}
2025-05-04 22:13:15,835  trial=074  acc=0.4335  {'layer_sizes': (64, 64), 'lr_init': 0.0014112359045344084, 'alpha': 0.005106975644383521, 'batch': 32}
2025-05-04 22:13:16,126  trial=075  acc=0.3932  {'layer_sizes': (128, 64), 'lr_init': 0.003728973416475376, 'alpha': 0.0026622565521144392, 'batch': 32}
2025-05-04 22:13:16,416  trial=076  acc=0.4744  {'layer_sizes': (64, 64), 'lr_init': 0.0015923507099577783, 'alpha': 0.001926488559938186, 'batch': 64}
2025-05-04 22:13:16,734  trial=077  acc=0.4681  {'layer_sizes': (64, 64), 'lr_init': 0.0010820687175742462, 'alpha': 0.004191718911788328, 'batch': 32}
2025-05-04 22:13:17,000  trial=078  acc=0.4743  {'layer_sizes': (64, 64), 'lr_init': 0.002254401153077581, 'alpha': 0.0011828145444094287, 'batch': 32}
2025-05-04 22:13:17,461  trial=079  acc=0.5532  {'layer_sizes': (64, 64), 'lr_init': 0.0007314912068413965, 'alpha': 0.0074903600713776925, 'batch': 32}
2025-05-04 22:13:17,783  trial=080  acc=0.2744  {'layer_sizes': (64, 64), 'lr_init': 0.00044538361186235287, 'alpha': 0.008069109914389054, 'batch': 32}
2025-05-04 22:13:18,114  trial=081  acc=0.4509  {'layer_sizes': (64, 64), 'lr_init': 0.0008246140829659946, 'alpha': 0.005459632936824721, 'batch': 32}
2025-05-04 22:13:18,550  trial=082  acc=0.5154  {'layer_sizes': (64, 64), 'lr_init': 0.0006381002514369132, 'alpha': 0.004299180401365212, 'batch': 32}
2025-05-04 22:13:18,681  trial=083  acc=0.2051  {'layer_sizes': (64, 64), 'lr_init': 0.00033543356204988694, 'alpha': 0.003788465572657296, 'batch': 32}
2025-05-04 22:13:19,023  trial=084  acc=0.4937  {'layer_sizes': (64, 64), 'lr_init': 0.0007063278422169254, 'alpha': 0.008392101719452365, 'batch': 32}
2025-05-04 22:13:19,316  trial=085  acc=0.3717  {'layer_sizes': (64, 64), 'lr_init': 0.0005983771568539611, 'alpha': 0.00011070843374522046, 'batch': 32}
2025-05-04 22:13:19,532  trial=086  acc=0.2735  {'layer_sizes': (128, 64), 'lr_init': 0.000532805908334495, 'alpha': 0.007274999546238766, 'batch': 128}
2025-05-04 22:13:20,041  trial=087  acc=0.4570  {'layer_sizes': (128, 128), 'lr_init': 0.0004373695523202764, 'alpha': 3.7952448315475935e-06, 'batch': 32}
2025-05-04 22:13:20,416  trial=088  acc=0.4809  {'layer_sizes': (64, 64), 'lr_init': 0.0009419749348221129, 'alpha': 7.578821050204411e-05, 'batch': 32}
2025-05-04 22:13:20,557  trial=089  acc=0.4104  {'layer_sizes': (128,), 'lr_init': 0.004937987398499436, 'alpha': 6.944971440387939e-05, 'batch': 64}
2025-05-04 22:13:20,919  trial=090  acc=0.4980  {'layer_sizes': (64, 64), 'lr_init': 0.006097101673126145, 'alpha': 0.00016070694032361275, 'batch': 32}
2025-05-04 22:13:21,325  trial=091  acc=0.5000  {'layer_sizes': (64, 64), 'lr_init': 0.0012872384658617233, 'alpha': 0.0027777014447024125, 'batch': 32}
2025-05-04 22:13:21,794  trial=092  acc=0.4552  {'layer_sizes': (64, 64), 'lr_init': 0.0011244856428745977, 'alpha': 0.001914005956024641, 'batch': 32}
2025-05-04 22:13:22,168  trial=093  acc=0.5111  {'layer_sizes': (64, 64), 'lr_init': 0.0015995534224548648, 'alpha': 0.004027686138528722, 'batch': 32}
2025-05-04 22:13:22,571  trial=094  acc=0.5277  {'layer_sizes': (64, 64), 'lr_init': 0.0018793525953494645, 'alpha': 0.004335072616524152, 'batch': 32}
2025-05-04 22:13:22,840  trial=095  acc=0.4574  {'layer_sizes': (64, 64), 'lr_init': 0.001840126519093279, 'alpha': 0.004290638483908168, 'batch': 32}
2025-05-04 22:13:23,024  trial=096  acc=0.4080  {'layer_sizes': (64,), 'lr_init': 0.0030030330475501535, 'alpha': 0.005458899182753973, 'batch': 32}
2025-05-04 22:13:23,293  trial=097  acc=0.3653  {'layer_sizes': (64, 64), 'lr_init': 0.008430700185057162, 'alpha': 0.005715731036692727, 'batch': 32}
2025-05-04 22:13:23,626  trial=098  acc=0.4935  {'layer_sizes': (64, 64), 'lr_init': 0.0024456481934242947, 'alpha': 0.003017206293770744, 'batch': 32}
2025-05-04 22:13:23,979  trial=099  acc=0.5191  {'layer_sizes': (64, 64), 'lr_init': 0.001660067935250012, 'alpha': 1.3490607987933282e-05, 'batch': 32}
2025-05-04 22:13:23,981  Best params: {'layer_sizes': (64, 64), 'lr_init': 0.0007314912068413965, 'alpha': 0.0074903600713776925, 'batch': 32}
2025-05-04 22:13:23,981  Best score : 0.5532
