2025-05-04 17:21:42,002  trial=020  score=0.4745  params={'n_estimators': 700, 'max_depth': 4, 'learning_rate': 0.04693525696882341, 'min_child_weight': 4, 'subsample': 0.7, 'colsample_bytree': 0.8, 'gamma': 1.7850201314643228, 'reg_lambda': 1.5484364641227106, 'reg_alpha': 3.1914286294314174}
2025-05-04 17:21:43,396  trial=021  score=0.8528  params={'n_estimators': 700, 'max_depth': 5, 'learning_rate': 0.026970700076973046, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.7, 'gamma': 0.24109769633875988, 'reg_lambda': 0.3463664417567216, 'reg_alpha': 0.1456487418614052}
2025-05-04 17:21:44,328  trial=022  score=0.8528  params={'n_estimators': 600, 'max_depth': 5, 'learning_rate': 0.04516281835809732, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.7, 'gamma': 0.7050025274538043, 'reg_lambda': 0.043515322266265796, 'reg_alpha': 0.00153534147229073}
2025-05-04 17:21:45,577  trial=023  score=0.8377  params={'n_estimators': 800, 'max_depth': 6, 'learning_rate': 0.06551701284609837, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.6, 'gamma': 0.11549031443617931, 'reg_lambda': 0.06294049391827952, 'reg_alpha': 0.6592316547641479}
2025-05-04 17:21:46,616  trial=024  score=0.7202  params={'n_estimators': 700, 'max_depth': 7, 'learning_rate': 0.026251068427731682, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 0.7, 'gamma': 0.786203790451151, 'reg_lambda': 0.5944898053482972, 'reg_alpha': 1.3149823870516122}
2025-05-04 17:21:47,129  trial=025  score=0.6839  params={'n_estimators': 400, 'max_depth': 3, 'learning_rate': 0.09495719638244442, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.8, 'gamma': 1.5874512011069097, 'reg_lambda': 1.2640235414795775, 'reg_alpha': 0.3932045853766988}
2025-05-04 17:21:48,051  trial=026  score=0.7974  params={'n_estimators': 600, 'max_depth': 4, 'learning_rate': 0.044374063152046596, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.7, 'gamma': 0.4432953808535557, 'reg_lambda': 0.5713230501874003, 'reg_alpha': 0.7333086150469033}
2025-05-04 17:21:48,899  trial=027  score=0.6624  params={'n_estimators': 700, 'max_depth': 5, 'learning_rate': 0.05406151873430534, 'min_child_weight': 4, 'subsample': 0.6, 'colsample_bytree': 0.6, 'gamma': 0.9273052403166677, 'reg_lambda': 0.8861047951759147, 'reg_alpha': 1.3648113594568603}
2025-05-04 17:21:51,093  trial=028  score=0.8165  params={'n_estimators': 800, 'max_depth': 6, 'learning_rate': 0.012058838650623144, 'min_child_weight': 1, 'subsample': 0.9, 'colsample_bytree': 0.8, 'gamma': 0.3731399575229651, 'reg_lambda': 4.987951163292262, 'reg_alpha': 0.28854298874214646}
2025-05-04 17:21:52,134  trial=029  score=0.4895  params={'n_estimators': 800, 'max_depth': 4, 'learning_rate': 0.021366098927314604, 'min_child_weight': 7, 'subsample': 0.7, 'colsample_bytree': 0.8, 'gamma': 2.211608032320334, 'reg_lambda': 2.1644624681736255, 'reg_alpha': 1.6763394529688074}
2025-05-04 17:21:52,499  trial=030  score=0.6261  params={'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.03537909460101827, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.7, 'gamma': 1.4934535710043977, 'reg_lambda': 0.22848993574135112, 'reg_alpha': 1.162629633777088}
2025-05-04 17:21:54,317  trial=031  score=0.8592  params={'n_estimators': 700, 'max_depth': 5, 'learning_rate': 0.024903769299725275, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.7, 'gamma': 0.025866205460580327, 'reg_lambda': 0.36941558079439774, 'reg_alpha': 0.4923763425845494}
2025-05-04 17:21:56,524  trial=032  score=0.8848  params={'n_estimators': 700, 'max_depth': 5, 'learning_rate': 0.022505064441364145, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.7, 'gamma': 0.0015609155644324552, 'reg_lambda': 0.43253578834997075, 'reg_alpha': 0.0103828812941745}
2025-05-04 17:21:58,011  trial=033  score=0.8101  params={'n_estimators': 600, 'max_depth': 6, 'learning_rate': 0.013018346912176024, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.7, 'gamma': 0.5441630285228638, 'reg_lambda': 1.220129511154703, 'reg_alpha': 0.015412710812477252}
2025-05-04 17:21:59,134  trial=034  score=0.6217  params={'n_estimators': 800, 'max_depth': 7, 'learning_rate': 0.015425395873808074, 'min_child_weight': 9, 'subsample': 0.7, 'colsample_bytree': 0.6, 'gamma': 0.8810876123044764, 'reg_lambda': 0.7288077124654032, 'reg_alpha': 0.8154165755551661}
2025-05-04 17:22:00,519  trial=035  score=0.5769  params={'n_estimators': 700, 'max_depth': 5, 'learning_rate': 0.022491008861118017, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.8, 'gamma': 0.2261116074010215, 'reg_lambda': 2.5146519755769794, 'reg_alpha': 4.033549979251628}
