2025-05-04 17:25:14,600  trial=044  score=0.9338  params={'n_estimators': 300, 'max_depth': 15, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:15,713  trial=045  score=0.9381  params={'n_estimators': 500, 'max_depth': 15, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:16,628  trial=046  score=0.9338  params={'n_estimators': 400, 'max_depth': 35, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:17,081  trial=047  score=0.9381  params={'n_estimators': 200, 'max_depth': 30, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:17,737  trial=048  score=0.9338  params={'n_estimators': 300, 'max_depth': 15, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:18,663  trial=049  score=0.9359  params={'n_estimators': 400, 'max_depth': 15, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:25:19,366  trial=050  score=0.9338  params={'n_estimators': 300, 'max_depth': None, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:20,250  trial=051  score=0.9423  params={'n_estimators': 400, 'max_depth': 15, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:21,312  trial=052  score=0.9381  params={'n_estimators': 500, 'max_depth': 15, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:22,277  trial=053  score=0.9423  params={'n_estimators': 400, 'max_depth': 15, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:23,448  trial=054  score=0.9338  params={'n_estimators': 400, 'max_depth': 50, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:24,491  trial=055  score=0.9381  params={'n_estimators': 500, 'max_depth': 15, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:24,945  trial=056  score=0.6815  params={'n_estimators': 300, 'max_depth': 5, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:25:26,336  trial=057  score=0.9273  params={'n_estimators': 600, 'max_depth': 15, 'criterion': 'gini', 'bootstrap': True}
2025-05-04 17:25:27,474  trial=058  score=0.9381  params={'n_estimators': 500, 'max_depth': 25, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:28,180  trial=059  score=0.9338  params={'n_estimators': 300, 'max_depth': 35, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:28,654  trial=060  score=0.9380  params={'n_estimators': 200, 'max_depth': 30, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:25:29,551  trial=061  score=0.9423  params={'n_estimators': 400, 'max_depth': 15, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:30,467  trial=062  score=0.9423  params={'n_estimators': 400, 'max_depth': 15, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:31,320  trial=063  score=0.9423  params={'n_estimators': 400, 'max_depth': 15, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:32,370  trial=064  score=0.9381  params={'n_estimators': 500, 'max_depth': 15, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:33,244  trial=065  score=0.9423  params={'n_estimators': 400, 'max_depth': 15, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:34,570  trial=066  score=0.9338  params={'n_estimators': 600, 'max_depth': 45, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:35,644  trial=067  score=0.9381  params={'n_estimators': 500, 'max_depth': 15, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:36,342  trial=068  score=0.9273  params={'n_estimators': 300, 'max_depth': 20, 'criterion': 'gini', 'bootstrap': True}
2025-05-04 17:25:37,132  trial=069  score=0.9166  params={'n_estimators': 400, 'max_depth': 10, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:38,278  trial=070  score=0.9316  params={'n_estimators': 500, 'max_depth': 15, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:25:39,140  trial=071  score=0.9423  params={'n_estimators': 400, 'max_depth': 15, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:40,006  trial=072  score=0.9423  params={'n_estimators': 400, 'max_depth': 15, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:40,660  trial=073  score=0.9338  params={'n_estimators': 300, 'max_depth': 15, 'criterion': 'gini', 'bootstrap': False}
