fold,accuracy,f1_macro,precision,recall
1,0.7872340425531915,0.7668734559214436,0.8418317793317792,0.7685185185185186
2,0.9574468085106383,0.9615411076711387,0.9666666666666667,0.9606481481481483
3,0.8723404255319149,0.874916804328569,0.8736772486772487,0.8812830687830688
4,0.8936170212765957,0.89067849361967,0.9004629629629629,0.8968253968253967
5,0.8297872340425532,0.8229952237305179,0.8331228956228957,0.8214285714285715
6,0.8723404255319149,0.8723024252436016,0.8783068783068785,0.8713624338624338
7,0.851063829787234,0.8471542346542346,0.8693528693528694,0.8419312169312169
8,0.723404255319149,0.7118861530626237,0.7393925518925518,0.7180555555555556
9,0.8043478260869565,0.8043285690344514,0.8146164021164021,0.8055555555555555
10,0.8478260869565217,0.8331196581196582,0.8566017316017316,0.8263888888888888
