fold,accuracy,f1_macro,precision,recall
1,0.8936170212765957,0.8898524720893142,0.8958333333333334,0.8865740740740741
2,1.0,1.0,1.0,1.0
3,0.9574468085106383,0.9564605329311212,0.9576719576719577,0.9606481481481483
4,0.9361702127659575,0.9352226720647773,0.938888888888889,0.9338624338624338
5,0.851063829787234,0.843710473393136,0.8467592592592593,0.8452380952380952
6,0.8723404255319149,0.8723024252436016,0.8783068783068785,0.8713624338624338
7,0.8936170212765957,0.8919199708673392,0.8986772486772486,0.8935185185185186
8,0.8723404255319149,0.8622929873703867,0.8761784511784513,0.8606481481481483
9,0.9565217391304348,0.9576146247972875,0.9648148148148149,0.9583333333333334
10,0.8695652173913043,0.8523391812865498,0.8736652236652237,0.8472222222222222
