fold,accuracy,f1_macro,precision,recall
1,0.48936170212765956,0.45027177844515304,0.5281593406593407,0.47222222222222227
2,0.5106382978723404,0.5049450549450549,0.535479797979798,0.5
3,0.5106382978723404,0.5097632215279274,0.5198412698412698,0.5072751322751322
4,0.5319148936170213,0.5177865005651383,0.5329004329004329,0.5390211640211641
5,0.723404255319149,0.71005291005291,0.7213383838383839,0.7159391534391535
6,0.48936170212765956,0.4998604975587073,0.5813492063492064,0.496031746031746
7,0.574468085106383,0.5659879336349924,0.5822089947089947,0.5866402116402116
8,0.5319148936170213,0.5154970760233918,0.5214285714285715,0.5189814814814815
9,0.5217391304347826,0.5062236238706826,0.5283068783068784,0.523148148148148
10,0.5869565217391305,0.5782251159573141,0.5867724867724867,0.5879629629629629
