fold,accuracy,f1_macro,precision,recall
1,0.5957446808510638,0.5513784461152882,0.5825757575757576,0.5601851851851851
2,0.6808510638297872,0.6833414134884723,0.7046055796055796,0.6967592592592592
3,0.574468085106383,0.5629721156036945,0.5854145854145854,0.5773809523809524
4,0.7446808510638298,0.7384648303765952,0.7454365079365078,0.748015873015873
5,0.6382978723404256,0.614957264957265,0.6563973063973063,0.6273148148148148
6,0.7872340425531915,0.7681605975723622,0.8128306878306878,0.7708333333333334
7,0.5957446808510638,0.5846736762337786,0.6613756613756614,0.6008597883597884
8,0.5319148936170213,0.5288957688338493,0.5783221408221407,0.5412037037037037
9,0.5434782608695652,0.539520202020202,0.5878496503496503,0.5300925925925926
10,0.717391304347826,0.7013071895424837,0.7292328042328041,0.7152777777777778
